bricqer_item_id,bricklink_id,name,condition_notes,bricqer_price,ebay_avg_sold_price,ebay_min_sold_price,ebay_max_sold_price,ebay_sold_count,ebay_active_count,ebay_sell_through_rate,ebay_avg_shipping,ebay_research_date,meets_threshold,recommended_price,best_offer_auto_accept,best_offer_auto_decline,ebay_sku,ebay_listing_id,ebay_listing_url,listing_status,ebay_title,created_at,updated_at
17466,adv001,Achu,,40,,,,,,,,,true,41,38.95,30.75,,,,NOT_LISTED,,2026-02-20T15:23:16.000011+00:00,2026-02-20T16:13:38.177+00:00
17884,njo0292,Acronix,,54,,,,,,,,,true,55,52.25,41.25,,,,NOT_LISTED,,2026-02-20T15:22:25.377879+00:00,2026-02-20T16:12:25.649+00:00
25608,jw033,"ACU Guard - Male, Black Knit Cap, Medium Nougat Head",,3.55,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:16.911271+00:00,2026-02-20T16:13:16.842+00:00
25584,jw032,"ACU Guard - Male, Dark Blue Cap, Light Nougat Head, Black Bandana",,3.42,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:12.108691+00:00,2026-02-20T16:12:51.42+00:00
16510,sw0719,Admiral Ackbar (Medium Nougat Robe),,11.69,,,,,,,,,true,12.69,12.06,9.52,,,,NOT_LISTED,,2026-02-20T14:58:25.432908+00:00,2026-02-20T16:13:31.343+00:00
11665,sw1096,Ahsoka Tano (Adult) - Dark Blue Jumpsuit,,5.32,,,,,,,,,true,6.32,6,4.74,,,,NOT_LISTED,,2026-02-20T14:57:53.549702+00:00,2026-02-20T16:11:05.807+00:00
17193,hp008,Albus Dumbledore - Yellow Version,,4.49,,,,,,,,,true,5.63,5.35,4.22,,,,NOT_LISTED,,2026-02-20T15:23:15.024677+00:00,2026-02-20T16:13:29.149+00:00
3826,sw0008,Anakin Skywalker (Light Gray Aviator Cap),,3.37,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:25.97738+00:00,2026-02-20T16:13:11.34+00:00
22040,sw0963,Antoc Merrick,,4.17,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:58:05.015561+00:00,2026-02-20T16:12:40.602+00:00
12776,hp140,"Argus Filch - Bald on Top, Dark Bluish Gray Jacket",,3.17,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T14:57:57.734351+00:00,2026-02-20T16:12:31.866+00:00
7397,hp089,"Arthur Weasley - Sand Green Open Jacket, Light Bluish Gray Legs",,3.8,,,,,,,,,true,4.8,4.56,3.6,,,,NOT_LISTED,,2026-02-20T14:57:57.328508+00:00,2026-02-20T16:12:03.107+00:00
9528,sw0598,"Astromech Droid, Christmas",,6.25,,,,,,,,,true,7.25,6.89,5.44,,,,NOT_LISTED,,2026-02-20T15:22:27.246958+00:00,2026-02-20T16:11:26.118+00:00
6908,sw0255,"Astromech Droid, R2-D2, Clone Wars",,6.43,,,,,,,,,true,7.43,7.06,5.57,,,,NOT_LISTED,,2026-02-20T14:57:49.825758+00:00,2026-02-20T16:11:00.178+00:00
11073,sw0908,"Astromech Droid, R2-D2, Dirt Stains on Front",,3.8,,,,,,,,,false,,,,,,,NOT_LISTED,,2026-02-20T15:22:31.547259+00:00,2026-02-20T16:11:48.181+00:00
