ID,Storage,Lego ID,Description,Condition,Qty,Price,Total Value
23187,"U-K33",75c29,"Hose, Rigid 3mm D. 29L / 23.2cm",Used,3,10.00,30.00
23182,"U-K33",78c13,"Hose, Ribbed 7mm D. 13L / 10.4cm",Used,4,3.55,14.20
14964,"U-BIO-F",92222,"Hero Factory Shield with Bar Handle",Used,3,2.42,7.26
12167,"U-305-1",5990pb03,"Minifigure, Headgear Ninjago Wrap Type 10 with Molded Dark Azure Armor, Wraps and Knot Pattern",New,5,0.93,4.65
22903,"U-R1",18673,"Minifigure, Weapon Lightsaber Hilt Straight with Ring",Used,2,1.88,3.76
6459,"U-BIO-X4",60917,"Bionicle Toa Pohatu Lower Arm Section",Used,1,3.29,3.29
6460,"U-D5-6",60917,"Bionicle Toa Pohatu Lower Arm Section",Used,1,3.29,3.29
6300,"U-N2",60747,"Minifigure, Headgear Helmet with Wings",Used,1,3.25,3.25
24542,"U-321",61805,"Bionicle Panel / Shield (Axalara T9)",Used,1,3.16,3.16
24587,"U-321",60919px1,"Bionicle Wing Makuta with Marbled Pearl Light Gray Pattern",Used,2,1.58,3.16
12163,"U-305-1",5985,"Minifigure Armor Shoulder Pads Spiked with Dragon Lower Jaw and 2 Studs on Long Back",New,2,1.51,3.02
11913,"N-LEGBOX-1",973pb4546c01,"Torso Tunic, Dark Azure Arches, Ninjago Logogram Letter N, Core Logo on Back Pattern / Dark Azure Arm Left / Pearl Dark Gray Arm Right / Dark Azure Hands",New,4,0.65,2.60
14890,"U-BIO-B3",92222,"Hero Factory Shield with Bar Handle",Used,1,2.42,2.42
5075,"U-A32-1",42687,"Legs Mechanical, Super Battle Droid - Solid between Feet",Used,1,2.37,2.37
4421,"U-BIOB-1",x345,"Bionicle Shoulder Armor, Toa Nuva",Used,1,2.37,2.37
23931,"U-R5",42687,"Legs Mechanical, Super Battle Droid - Solid between Feet",Used,1,2.37,2.37
16366,"U-N4-1",93247,"Minifigure, Weapon Sword, Khopesh (Sickle Sword)",Used,3,0.75,2.25
6058,"U-BIO-X1",53543,"Bionicle Toa Inika Thigh Cover",Used,1,1.80,1.80
6054,"U-BIO-X10",53543,"Bionicle Toa Inika Thigh Cover",Used,1,1.80,1.80
17866,"U-P3",24588,"Minifigure Armor Breastplate with Round Collar, Chain Mail, Shoulder Pads with Snake Heads and 1 Stud on Back",Used,2,0.88,1.76
12893,"U-K6",95673,"Minifigure, Weapon Sword, Roman Gladius with Thin Crossguard",Used,2,0.82,1.64
6213,"U-D6-2",58230,"Bionicle Foot Barraki Kalmah",Used,1,1.62,1.62
22980,"U-BIO-AA-3",98593,"Hero Factory Shoulder Armor, Sonic Speaker",Used,2,0.64,1.28
13844,"U-BIO-E",98593,"Hero Factory Shoulder Armor, Sonic Speaker",Used,2,0.64,1.28
