Set Number/Description,Storage Location,Condition,Notes,Uncertain Flag
6527,Garage - E1,Used,,
6602,Garage - E1,Used,,
80453,Garage - E1,Used,,Y
84531,Garage - E1,Used,,Y
21163,Garage - E1,Used,,
42084,Garage - E1,Used,,
42111,Garage - E1,Used,,Y
6603,Garage - E1,Used,,
70599,Garage - E1,Used,,
6946,Garage - E1,Used,,Y
21220,Garage - E1,Used,,
6923,Garage - E1,Used,,
6155,Garage - E1,Used,,
85979,Garage - E1,Used,,Y
40053,Garage - E1,Used,,Y
26394,Garage - E1,Used,Duplo figures note,Y
41205,Garage - E1,Used,,Y
41426,Garage - E1,Used,,
8204,Garage - E1,Used,,Y
6555,Garage - E1,Used,,
4936,Garage - E1,Used,,Y
71004,Garage - E1,Used,,
70611,Garage - E1,Used,Quantity: 2,
70592,Garage - E1,Used,Quantity: 2,
6378,Garage - E3,Used,Listed as import,
6011,Garage - E3,Used,,
6245,Garage - E3,Used,,
30087,Garage - E3,Used,,Y
Microfighter Bundle,Garage - E3,Used,,
41367,Garage - E3,Used,,
41360,Garage - E3,Used,,
Microfighter Bundle 2,Garage - E3,Used,,
6257,Garage - E3,Used,,
41100,Garage - E4,Used,,Y
30017,Garage - E4,Used,Denmark army figures,
21178,Garage - E4,Used,,
8794,Garage - E4,Used,,Y
6508,Garage - E4,Used,,
30017,Garage - E4,Used,No instructions,
Vintage Characters 1,Garage - E4,Used,,
21179,Garage - E4,Used,,
21259,Garage - E4,Used,,
6344,Garage - E4,Used,,
6384,Garage - E4,Used,,
8928,Garage - E4,Used,,
8740,Garage - E4,Used,,
25238,Garage - E4,Used,,Y
6140,Garage - E4,Used,,
133,Garage - E9,Used,,Y
Duplo Brick Direction Clips,Garage - E9,Used,Quantity: 6,
Duplo Indian Boat,Garage - E9,Used,,
8292,Garage - E9,Used,Winnie The Pooh Bundle,
Duplo Signal Crossing,Garage - E9,Used,,
Pink Duplo Box,Garage - E9,Used,,
10925,Garage - E5,Used,,
10815,Garage - E5,Used,Quantity: 2,
10858,Garage - E5,Used,Note says (35?!),Y
10543,Garage - E5,Used,,
8232,Garage - E5,Used,,Y
6502,Garage - E5,Used,,Y
41125,Garage - E5,Used,,Y
9461,Garage - E5,Used,,
8374,Garage - E5,Used,Mini fig,
8742,Garage - E5,Used,,Y
5203,Garage - E5,Used,,
5521,Garage - E5,Used,,
6998,Garage - E5,Used,,Y
6697,Garage - E5,Used,,
8604,Garage - E5,Used,,
8606,Garage - E5,Used,,
8231,Garage - E5,Used,,
8576,Garage - E5,Used,,
8587,Garage - E5,Used,,
8566,Garage - E6,Used,,
8606,Garage - E6,Used,,
60011,Garage - E6,Used,,
8837,Garage - E6,Used,,Y
8603,Garage - E6,Used,,
8740,Garage - E6,Used,,Y
8728,Garage - E6,Used,,
6695,Garage - E6,Used,,Y
4200,Garage - E6,Used,,Y
4528,Garage - E6,Used,,
2067,Garage - E6,Used,,
8581,Garage - E6,Used,,Y
60174,Garage - E6,Used,,Y
8589,Garage - E6,Used,,
8617,Garage - E6,Used,,
8976,Garage - E6,Used,,Y
8409,Garage - E6,Used,,
6835,Garage - E6,Used,,
10847,Garage - E8,Used,Quantity: 2,
10891,Garage - E8,Used,,
10879,Garage - E8,Used,,
4779,Garage - E8,Used,,
10839,Garage - E8,Used,,
Duplo Junction,Garage - E8,Used,Quantity: 1,
Vintage Duplo Track (Straight),Garage - E8,Used,Quantity: 1,
