Date,Reference,Supplier,Description,Net Amount,VAT,Gross Amount,Nominal Code
2025-04-30,STOCK-202504,Various,Stock Purchase - April 2025,2393.52,0.00,2393.52,5000
2025-04-30,FEES-202504,Various,Selling Fees - April 2025,1623.46,0.00,1623.46,7502
2025-04-30,POSTAGE-202504,Various,Packing & Postage - April 2025,1272.85,0.00,1272.85,7503
2025-04-30,HOME-202504,HMRC,Use of Home - April 2025,67.33,0.00,67.33,7008
2025-04-30,OTHER-202504,Various,Sundry Expenses - April 2025,868.67,0.00,868.67,7901
2025-05-31,STOCK-202505,Various,Stock Purchase - May 2025,3106.90,0.00,3106.90,5000
2025-05-31,FEES-202505,Various,Selling Fees - May 2025,1332.83,0.00,1332.83,7502
2025-05-31,POSTAGE-202505,Various,Packing & Postage - May 2025,813.53,0.00,813.53,7503
2025-05-31,HOME-202505,HMRC,Use of Home - May 2025,67.33,0.00,67.33,7008
2025-05-31,SOFTWARE-202505,Various,Software & IT - May 2025,25.00,0.00,25.00,7600
2025-05-31,OTHER-202505,Various,Sundry Expenses - May 2025,304.61,0.00,304.61,7901
2025-06-30,STOCK-202506,Various,Stock Purchase - June 2025,2170.78,0.00,2170.78,5000
2025-06-30,FEES-202506,Various,Selling Fees - June 2025,1022.25,0.00,1022.25,7502
2025-06-30,POSTAGE-202506,Various,Packing & Postage - June 2025,1021.72,0.00,1021.72,7503
2025-06-30,HOME-202506,HMRC,Use of Home - June 2025,67.33,0.00,67.33,7008
2025-06-30,SOFTWARE-202506,Various,Software & IT - June 2025,25.00,0.00,25.00,7600
2025-06-30,OTHER-202506,Various,Sundry Expenses - June 2025,176.72,0.00,176.72,7901
2025-07-31,STOCK-202507,Various,Stock Purchase - July 2025,129.97,0.00,129.97,5000
2025-07-31,FEES-202507,Various,Selling Fees - July 2025,998.36,0.00,998.36,7502
2025-07-31,POSTAGE-202507,Various,Packing & Postage - July 2025,695.50,0.00,695.50,7503
2025-07-31,HOME-202507,HMRC,Use of Home - July 2025,67.33,0.00,67.33,7008
2025-07-31,SOFTWARE-202507,Various,Software & IT - July 2025,25.00,0.00,25.00,7600
2025-07-31,OTHER-202507,Various,Sundry Expenses - July 2025,56.90,0.00,56.90,7901
2025-08-31,STOCK-202508,Various,Stock Purchase - August 2025,132.95,0.00,132.95,5000
2025-08-31,FEES-202508,Various,Selling Fees - August 2025,146.26,0.00,146.26,7502
2025-08-31,POSTAGE-202508,Various,Packing & Postage - August 2025,604.96,0.00,604.96,7503
2025-08-31,MILEAGE-202508,HMRC,Travel - Motor - August 2025,29.70,0.00,29.70,7300
2025-08-31,HOME-202508,HMRC,Use of Home - August 2025,67.33,0.00,67.33,7008
