Date,Reference,Description,Net Amount,VAT,Gross Amount,Nominal Code
2025-04-30,EBAY-202504,eBay Sales - April 2025,2918.24,0.00,2918.24,4000
2025-04-30,AMAZON-202504,Amazon Sales - April 2025,4918.52,0.00,4918.52,4000
2025-04-30,BRICKLINK-202504,BrickLink Sales - April 2025,1045.99,0.00,1045.99,4000
2025-05-31,EBAY-202505,eBay Sales - May 2025,1550.86,0.00,1550.86,4000
2025-05-31,AMAZON-202505,Amazon Sales - May 2025,5174.71,0.00,5174.71,4000
2025-05-31,BRICKLINK-202505,BrickLink Sales - May 2025,240.54,0.00,240.54,4000
2025-06-30,EBAY-202506,eBay Sales - June 2025,1559.35,0.00,1559.35,4000
2025-06-30,AMAZON-202506,Amazon Sales - June 2025,2948.41,0.00,2948.41,4000
2025-06-30,BRICKLINK-202506,BrickLink Sales - June 2025,727.78,0.00,727.78,4000
2025-07-31,EBAY-202507,eBay Sales - July 2025,1725.87,0.00,1725.87,4000
2025-07-31,AMAZON-202507,Amazon Sales - July 2025,2935.61,0.00,2935.61,4000
2025-07-31,BRICKLINK-202507,BrickLink Sales - July 2025,856.03,0.00,856.03,4000
2025-08-31,EBAY-202508,eBay Sales - August 2025,210.94,0.00,210.94,4000
2025-08-31,BRICKLINK-202508,BrickLink Sales - August 2025,213.61,0.00,213.61,4000
2025-09-30,EBAY-202509,eBay Sales - September 2025,2330.97,0.00,2330.97,4000
2025-09-30,AMAZON-202509,Amazon Sales - September 2025,3524.61,0.00,3524.61,4000
2025-09-30,BRICKLINK-202509,BrickLink Sales - September 2025,1979.81,0.00,1979.81,4000
2025-10-31,EBAY-202510,eBay Sales - October 2025,2407.92,0.00,2407.92,4000
2025-10-31,AMAZON-202510,Amazon Sales - October 2025,3361.42,0.00,3361.42,4000
2025-10-31,BRICKLINK-202510,BrickLink Sales - October 2025,2087.42,0.00,2087.42,4000
2025-10-31,BRICKOWL-202510,Brick Owl Sales - October 2025,322.15,0.00,322.15,4000
2025-11-30,EBAY-202511,eBay Sales - November 2025,2928.19,0.00,2928.19,4000
2025-11-30,AMAZON-202511,Amazon Sales - November 2025,3866.06,0.00,3866.06,4000
2025-11-30,BRICKLINK-202511,BrickLink Sales - November 2025,914.01,0.00,914.01,4000
2025-11-30,BRICKOWL-202511,Brick Owl Sales - November 2025,197.63,0.00,197.63,4000
2025-12-31,EBAY-202512,eBay Sales - December 2025,2302.12,0.00,2302.12,4000
2025-12-31,AMAZON-202512,Amazon Sales - December 2025,8698.52,0.00,8698.52,4000
2026-01-31,EBAY-202601,eBay Sales - January 2026,1618.12,0.00,1618.12,4000
2026-01-31,AMAZON-202601,Amazon Sales - January 2026,2255.58,0.00,2255.58,4000
2026-02-28,EBAY-202602,eBay Sales - February 2026,987.17,0.00,987.17,4000
2026-02-28,AMAZON-202602,Amazon Sales - February 2026,2107.11,0.00,2107.11,4000
2026-03-31,EBAY-202603,eBay Sales - March 2026,1728.36,0.00,1728.36,4000
2026-03-31,AMAZON-202603,Amazon Sales - March 2026,4342.42,0.00,4342.42,4000
