Location,SKU,Set,Name,Theme,Cost_GBP,DaysListed,BSR,RefPrice_GBP,SuggestedOutlet,Channel_used,SoldPrice_GBP,Date_listed
Garage - Box,81 copies (bulk),—,Strictly Briks Classic Starter Kit (NON-LEGO),Generic,469,~190,,,Bundle / job-lot,,,
Garage - Poly Creator,N362,30193,250 GT Berlinetta,Racers,3,150,326121,12.99,Bundle / job-lot,,,
Garage - Poly Creator,N361,30193,250 GT Berlinetta,Racers,3,159,326121,12.99,Bundle / job-lot,,,
Garage - Poly Creator,N2127,30193,250 GT Berlinetta,Racers,4,373,326121,12.99,Bundle / job-lot,,,
Garage - POLY CREATOR,N3358,30021,Parrot,Creator,2,96,436062,13.99,Bundle / job-lot,,,
Garage - POLY CREATOR,HB-NEW-30572-MLJHWYXG,30572,Race Car,Creator,34,121,511617,17.99,eBay BIN / BrickLink,,,
Garage - POLY CREATOR,N3354,4938,Fireman's Car,City,1,96,627039,7.99,Bundle / job-lot,,,
Garage - POLY CREATOR,N3359,7604,Triceratops,Creator,2,96,395403,12.49,Bundle / job-lot,,,
Garage - POLY THEMED,HB-NEW-30408-MOG23QJJ-004,30408,Tulips,Friends,5,48,419964,15.99,eBay BIN / BrickLink,,,
Loft - S1,N2264,60100,Airport Starter Set,City,9,344,365416,,Bundle / job-lot,,,
Loft - S109,N1047,80049,Dragon of the East Palace,Monkie Kid,118,494,581483,229.99,eBay 7-day auction,,,
Loft - S114,N1046,80049,Dragon of the East Palace,Monkie Kid,118,150,581483,229.99,eBay 7-day auction,,,
Loft - S20,N2328,60058,SUV with Watercraft,City,11,256,737458,,Bundle / job-lot,,,
Loft - S22,N3390,10739,Shark Attack,Juniors,9,99,530153,24.50,eBay BIN / BrickLink,,,
Loft - S22,N1822,31131,Downtown Noodle Shop,Creator,28,420,349114,,Bundle / job-lot,,,
Loft - S22,N1695,40203,Vampire and Bat,Seasonal,11,443,681954,28.99,eBay BIN / BrickLink,,,
Loft - S22,,41523,Hoogi,Mixels,12,50,491421,29.95,eBay BIN / BrickLink,,,
Loft - S22,N1263,5002812,Classic Spaceman Minifigure,Space,13,496,689910,19.99,eBay BIN / BrickLink,,,
Loft - S22,N1262,5002812,Classic Spaceman Minifigure,Space,13,496,689910,19.99,eBay BIN / BrickLink,,,
Loft - S22,HB-NEW-60222-MP6LX684,60222,Snow Groomer,City,14,29,327482,,Bundle / job-lot,,,
Loft - S32,N3328,76068,Mighty Micros: Superman vs. Bizarro,Super Heroes DC,13,104,531415,37.49,eBay BIN / BrickLink,,,
Loft - S37,N1915,3858,Waldurk Forest,Games,14,408,789482,69.99,eBay 7-day auction,,,
Loft - S37,N1919,6865,Captain America's Avenging Cycle,Super Heroes Marvel,21,405,449527,43.49,eBay BIN / BrickLink,,,
Loft - S37,N1921,76047,Black Panther Pursuit,Super Heroes Marvel,32,405,516091,,Bundle / job-lot,,,
Loft - S39,N3585,3859,Caverns of Nathuz,Games,17,30,631029,69.99,eBay 7-day auction,,,
Loft - S5,N3405,10282,adidas Originals Superstar,Icons,57,95,375903,124.99,eBay 7-day auction,,,
Loft - S5,N3334,75526,Elite TIE Fighter Pilot,Star Wars,11,103,443266,33.49,eBay BIN / BrickLink,,,
Loft - S50,N3199,60176,Wild River Escape,City,11,115,379585,32.99,eBay BIN / BrickLink,,,
Loft - S51,N2706,10954,Number Train - Learn To Count,Duplo,11,116,300648,,Bundle / job-lot,,,
Loft - S52,N3177,42072,WHACK!,Technic,14,114,441376,,Bundle / job-lot,,,
Loft - S53,N1673,41805,Creative Animal Drawer,DOTS,13,402,302541,,Bundle / job-lot,,,
Loft - S53,N1899,41915,Jewelry Box,DOTS,9,411,489878,43.99,eBay BIN / BrickLink,,,
Loft - S54,HB-NEW-40222-MLP89TIX-001,40222,24-in-1 Holiday Countdown,Seasonal,8,117,336237,25.99,eBay BIN / BrickLink,,,
Loft - S54,N3337,41066,Anna & Kristoff's Sleigh Adventure,Disney,19,103,481750,58.99,eBay BIN / BrickLink,,,
Loft - S54,N2705,43112,Robo HipHop Car,VIDIYO,8,117,461725,32.99,eBay BIN / BrickLink,,,
Loft - S56,N2170,41348,Service & Care Truck,Friends,11,362,434909,27.49,eBay BIN / BrickLink,,,
Loft - S56,N3564,60137,Tow Truck Trouble,City,18,26,336205,38.99,eBay BIN / BrickLink,,,
Loft - S56,N3578,60288,Race Buggy Transporter,City,13,27,331769,,Bundle / job-lot,,,
Loft - S56,N2173,6865,Captain America's Avenging Cycle,Super Heroes Marvel,17,362,449527,43.49,eBay BIN / BrickLink,,,
Loft - S60,N1456,21004,Solomon R. Guggenheim Museum,Architecture,40,459,327929,158.99,eBay 7-day auction,,,
Loft - S60,N1077,21004,Solomon R. Guggenheim Museum,Architecture,71,554,327929,158.99,eBay 7-day auction,,,
Loft - S60,N1694,6865,Captain America's Avenging Cycle,Super Heroes Marvel,18,443,449527,43.49,eBay BIN / BrickLink,,,
Loft - S61,N3237,70803,Cloud Cuckoo Palace,The LEGO Movie,19,111,893019,44.00,eBay BIN / BrickLink,,,
Loft - S62,N3248,76068,Mighty Micros: Superman vs. Bizarro,Super Heroes DC,13,111,531415,37.49,eBay BIN / BrickLink,,,
Loft - S63,N3438,75097,Star Wars Advent Calendar 2015,Advent,34,87,536749,114.99,eBay 7-day auction,,,
Loft - S63,N3435,75107,Jango Fett,Star Wars,17,87,411621,,Bundle / job-lot,,,
Loft - S64,N2128,60185,Mining Power Splitter,City,15,372,505689,,Bundle / job-lot,,,
Loft - S64,N974,75048,The Phantom,Star Wars,49,94,871827,118.99,eBay 7-day auction,,,
Loft - S64,N1726,75073,Vulture Droid,Star Wars,15,441,849141,,Bundle / job-lot,,,
Loft - S64,N1730,75077,Homing Spider Droid,Star Wars,10,441,469223,,Bundle / job-lot,,,
Loft - S66,N2271,41121,Adventure Camp Rafting,Friends,17,339,538926,59.99,eBay BIN / BrickLink,,,
Loft - S66,N3559,41589,Captain America,Brickheadz,22,26,476756,84.99,eBay 7-day auction,,,
Loft - S66,N3566,41907,Desk Organizer,DOTS,16,29,605344,44.99,eBay BIN / BrickLink,,,
Loft - S66,N2272,60279,Fire Hazard Truck,City,9,339,308086,17.00,eBay BIN / BrickLink,,,
Loft - S66,N2273,60279,Fire Hazard Truck,City,9,339,308086,17.00,eBay BIN / BrickLink,,,
Loft - S67,HB-NEW-40125-MOG23QJJ-003,40125,Santa's Visit,Seasonal,20,48,458591,58.99,eBay BIN / BrickLink,,,
LOFT - S67,N3534,75032,X-Wing Fighter,Star Wars,14,44,565801,59.99,eBay BIN / BrickLink,,,
LOFT - S69,N3601,31094,Race Plane,Creator,20,5,477132,49.99,eBay BIN / BrickLink,,,
Loft - S7,,21262,The Windmill Farm,Minecraft,28,115,303469,68.99,eBay 7-day auction,,,
Loft - S7,,21262,The Windmill Farm,Minecraft,28,115,303469,68.99,eBay 7-day auction,,,
Loft - S7,,21262,The Windmill Farm,Minecraft,28,115,303469,68.99,eBay 7-day auction,,,
Loft - S7,,21262,The Windmill Farm,Minecraft,28,115,303469,68.99,eBay 7-day auction,,,
Loft - S7,,21262,The Windmill Farm,Minecraft,28,115,303469,68.99,eBay 7-day auction,,,
Loft - S70,N2075,75090,Ezra's Speeder Bike [Original Version],Star Wars,33,390,317089,75.00,eBay 7-day auction,,,
Loft - S73,N2135,41348,Service & Care Truck,Friends,12,370,434909,27.49,eBay BIN / BrickLink,,,
Loft - S76,N3307,60121,Volcano Exploration Truck,City,14,96,762709,38.99,eBay BIN / BrickLink,,,
Loft - S8,N1482,21018,United Nations Headquarters,Architecture,48,459,641113,139.99,eBay 7-day auction,,,
Loft - S8,N1478,21018,United Nations Headquarters,Architecture,81,459,641113,139.99,eBay 7-day auction,,,
Loft - S8,N1479,21018,United Nations Headquarters,Architecture,72,459,641113,139.99,eBay 7-day auction,,,
Loft - S8,N1481,21018,United Nations Headquarters,Architecture,48,459,641113,139.99,eBay 7-day auction,,,
Loft - S8,N1480,21018,United Nations Headquarters,Architecture,75,459,641113,139.99,eBay 7-day auction,,,
Loft - S8,N1653,41238,Lena Luthor Kryptomite Factory,DC Super Hero Girls,25,445,897530,59.99,eBay BIN / BrickLink,,,
Loft - S9,N2388,71400,Big Urchin Beach Ride Expansion Set,Super Mario,24,231,329864,,Bundle / job-lot,,,
Loft - S9,N51,80030,Monkie Kid's Staff Creations,Monkie Kid,18,445,388205,46.99,eBay BIN / BrickLink,,,
Loft - S9,N52,80030,Monkie Kid's Staff Creations,Monkie Kid,18,445,388205,46.99,eBay BIN / BrickLink,,,
Loft - SS8,N3467,40542,FC Barcelona Go Brick Me,Brickheadz,19,85,333119,44.95,eBay BIN / BrickLink,,,
Loft - SS8,N3495,41586,Batgirl,Brickheadz,13,82,314000,36.98,eBay BIN / BrickLink,,,
Loft - SS8,N3498,71734,Kai's Blade Cycle,Ninjago,12,82,869185,25.99,eBay BIN / BrickLink,,,
Loft S61-S69,N3268,71734,Kai's Blade Cycle,Ninjago,12,108,869185,25.99,eBay BIN / BrickLink,,,
TBC,N3371,60178,Speed Record Car,City,7,103,320410,23.95,eBay BIN / BrickLink,,,
