set_number,set_name,storage_location
HP075,Harry Potter Tournament Uniform Tattered Shirt,301-1
NA,Bionicle Magazine,Filing Cabinet
NA,Vintage Lego Book + Brochures,Filing Cabinet
10706,Blue Creativity Box,GARAGE
21033,Chicago,GARAGE
31058,Mighty Dinosaurs,GARAGE
31069,Modular Family Villa,GARAGE
40431,BB-8,GARAGE
40449,Easter Bunny's Carrot House,GARAGE
40506,Fabuland Tribute,GARAGE
40506,Fabuland Tribute,GARAGE
40705,Micro NINJAGO City Gardens,GARAGE
40706,Micro NINJAGO City Markets,GARAGE
40784,African Diorama,GARAGE
41143,Berry's Kitchen,GARAGE
42149,Monster Jam Dragon,GARAGE
44014,JET ROCKA,GARAGE
4436,Patrol Car,GARAGE
5004390,King's Guard,GARAGE
5004390,King's Guard,GARAGE
60085,4x4 with Powerboat,GARAGE
6567,Speed Splasher,GARAGE
6829,Radon Rover,GARAGE
71760,Jay's Thunder Dragon EVO,GARAGE
7288,Mobile Police Unit,GARAGE
75001,Republic Troopers vs. Sith Troopers,GARAGE
75125,Resistance X-wing Fighter,GARAGE
75299,Trouble on Tatooine,GARAGE
75317,The Mandalorian & The Child,GARAGE
75321,The Razor Crest Microfighter,GARAGE
76145,Eternals' Aerial Assault,GARAGE
76145,Eternals' Aerial Assault,GARAGE
8213,Spy Runner,GARAGE
853865,TLM2 Accessory Set 2019,GARAGE
853865,TLM2 Accessory Set 2019,GARAGE
8688,Toa Gali (New),GARAGE
42065,RC Tracked Racer,Garage - 101
60053,Race Car,Garage - 101
70592,Salvage M.E.C.,Garage - 101
70611,Water Strider,Garage - 101
71220,Gimli Fun Pack,Garage - 101
8205,Elacstatic Turbo,Garage - 101
42084,Hook Loader,Garage - 102
70753,Lava Falls,Garage - 102
8491,Ram Rod,Garage - 102
4574,Rip,Garage - 103
6555,Sea Hunter,Garage - 103
6646,Screaming Patriot,Garage - 103
70599,Cole's Dragon,Garage - 103
8204,Sky Flyer 1,Garage - 103
6502,Turbo Racer,Garage - 104
6527,Tipper Truck,Garage - 104
6603,Shovel Truck,Garage - 104
6203,BLACK PHANTOM,Garage - 105
6504,Turbo Racer,Garage - 105
8231,Vicious Viper,Garage - 105
8574,Tahnok-Kal,Garage - 105
8576,Lehvak-Kal,Garage - 105
8587,Rahkshi Panrahk,Garage - 105
6697,Rescue-I Helicopter,Garage - 107
21178,The Fox Lodge,Garage - 108
21179,The Mushroom House,Garage - 108
21259,The Pirate Ship Voyage,Garage - 108
41100,Heartlake Private Jet,Garage - 108
30087,Ninjago Car,Garage - 109
41360,Emma's Mobile Veterinary Clinic,Garage - 109
253,Helicopter and Pilot,Garage - 201
5014,Hockey,Garage - 201
60006,Police ATV,Garage - 201
60006,Police ATV,Garage - 201
612,Tipper Truck,Garage - 201
6471,4WD Police Patrol,Garage - 201
7694,MT-31 Trike,Garage - 201
HP107,Marcus Flint,Garage - 201
HP241,Mechanical Death Eater,Garage - 201
HP261,Parvati Patil,Garage - 201
NA,Lego Harry Potter Minifigure Bundle x 9 - Including Harry Ron & Hermione,Garage - 201
NA,Lego Jack Stone: 12 x Mixed Minifigure Bundle (Bundle 4),Garage - 201
NA,Lego Jack Stone: 12 x Mixed Minifigure Bundle (Bundle 3),Garage - 201
NJO208,Wu Sensei - Skybound,Garage - 201
NJO630,Kai - Legacy Rebooted Robe,Garage - 201
SH034,Hawkeye,Garage - 201
SH228,Space Captain America,Garage - 201
SW0092,Super Battle Droid,Garage - 201
SW871,First Order Shuttle Pilot,Garage - 201
SH0018,Thor with Cape,Garage - 301
NJO621,Ginkle,Garage - 301-10
COL060,Werewolf,Garage - 301-3
HOL125,Santa - Fur Lined Jacket with Candy Cane,Garage - 301-3
SW0810,Qui-Gon Jinn,Garage - 301-4
HOL110,Santa,Garage - 301-5
HS019,Parker L. Jackson,Garage - 301-7
PHA006,Mac McCloud,Garage - 301-7
COLTLBM13,Nurse Harley Quinn,Garage - 301-8
HP134,Professor Severus Snape - Dark Purple Shirt Black Robes,Garage - 301-8
IAJ014,Irina Spalko,Garage - 301-8
ATL004,Atlantis SHark Warrior,Garage - 301-9
30108,Summer Picnic,Garage - BIO1
30222,Police Helicopter,Garage - BIO1
30311,Swamp Police Helicopter,Garage - BIO1
30346,Prison Island Floatplane,Garage - BIO1
8728,Toa Hahli,Garage - BIO1
8740,Toa Hordika Matau,Garage - BIO1
NA,Strictly Briks Letter Tiles - 144 Piece Set with bag,Garage - Box
NA,Strictly Briks Letter Tiles - 144 Piece Set with bag,Garage - Box
